table_name,column_name,description,semantic_status,note
samples,slug,Bản sao slug của lớp tại thời điểm ghi.,NEEDS_REVIEW,Phi chuẩn hoá; nguồn chuẩn là classes
samples,label_original,Bản sao nhãn gốc của lớp tại thời điểm ghi.,NEEDS_REVIEW,Phi chuẩn hoá
samples,language,Ngôn ngữ ký hiệu của mẫu.,VERIFIED,
samples,dialect,Phương ngữ của mẫu.,VERIFIED,
samples,source_type,Kênh thu: camera hay video tải lên.,VERIFIED,
samples,user_id,"Nhãn người ký/tài khoản dạng văn bản, theo hợp đồng dữ liệu cũ; đường ghi hiện hành vẫn điền cột này. KHÔNG phải khoá ngoại tới users.",VERIFIED,"Thuộc account_rename.STATE_COPIES: giá trị đã lưu ĐƯỢC CẬP NHẬT khi tài khoản đổi tên, nên đây KHÔNG phải ảnh chụp lịch sử bất biến — khác hẳn audit_log.actor_label vốn nằm trong FROZEN_COPIES. Vẫn ghi ở mọi hàng mới (có trong _SAMPLE_DB_KEYS; 3.864/3.864 dòng có giá trị, kể cả 08/2026), và hiện vẫn là trường cho thấy 10/253 phiên chứa nhiều nhãn người ký. Danh tính chuẩn hoá ở signer_id, nhưng cột đó mới điền 43% và đang đóng băng"
samples,auth_user_id,Tài khoản đã thực hiện thao tác thu/tải mẫu này.,VERIFIED,Khác hẳn danh tính người ký. 166/3.864 dòng còn trống
samples,session_id,Mã phiên do client gửi tại thời điểm thu.,VERIFIED,"Đo: 2.867/3.864 dòng có giá trị, 61 giá trị khác nhau"
samples,fps_original,Tốc độ khung hình của nguồn gốc.,NEEDS_REVIEW,Kiểu text chứ không phải số — cần xác nhận vì sao
samples,fps_processed,Tốc độ khung hình sau xử lý.,NEEDS_REVIEW,Kiểu text chứ không phải số
samples,seq_len,Độ dài chuỗi sau khi đệm về độ dài đích.,VERIFIED,
samples,augment_id,Chỉ số bản tăng cường; 0 là bản gốc.,VERIFIED,
samples,completeness,Tỷ lệ khung hình có bàn tay hợp lệ.,DERIVED,"TÁI TÍNH ĐƯỢC từ npz đã lưu. Bằng hand_presence() trên chuỗi đã chuẩn hoá: completeness = both_hands_ratio khi lớp cần 2 tay, ngược lại là tỷ lệ có BẤT KỲ tay nào"
samples,file_path,"Đường dẫn tệp đặc trưng, tương đối so với gốc dataset.",VERIFIED,"CHECK samples_file_path_is_local chỉ cấm giá trị bắt đầu bằng `http` — CSDL không cưỡng chế gì thêm. Việc đường dẫn phải tương đối so với gốc dataset là hợp đồng của ỨNG DỤNG, không phải của lược đồ"
samples,storage_url,Đường dẫn hoặc URL nơi tệp đang nằm.,VERIFIED,Được cập nhật sau khi đẩy lên Drive
samples,checksum,Tổng kiểm của tệp đặc trưng.,NEEDS_REVIEW,Thuật toán băm cần xác nhận
samples,created_at,Thời điểm ghi mẫu.,VERIFIED,
samples,sheets_synced,Đã đồng bộ sang Google Sheets chưa.,VERIFIED,
samples,gdrive_synced,Đã đồng bộ lên Google Drive chưa.,VERIFIED,"Bẫy đã biết: CREATE TABLE mặc định FALSE còn ALTER mặc định TRUE, nên máy cài mới và máy cũ khác nhau"
samples,status,Không còn được cập nhật.,LEGACY,KHÔNG đường ghi hiện hành nào cập nhật cột này: `status` không có trong _SAMPLE_DB_KEYS nên lượt upsert bỏ qua nó hoàn toàn; giá trị đến từ DEFAULT 'PENDING' của câu ALTER. Trạng thái kiểm duyệt sống ở review_status. Đo: PENDING trên cả 3.864 dòng
samples,error_log,"Thông báo lỗi của lượt xử lý, nếu có.",NEEDS_REVIEW,Mặc định chuỗi rỗng. Đường ghi và tập thông báo chưa xác nhận; không rõ nó ghi lỗi của lượt xử lý nào.
samples,updated_at,Thời điểm cập nhật gần nhất.,VERIFIED,
samples,storage_key,"Khoá tệp trên kho lưu trữ, tương đối so với gốc dataset.",VERIFIED,
samples,session_uid,"Mã phiên thứ hai, khác session_id.",NEEDS_REVIEW,"Đo: 991 dòng có giá trị, 109 giá trị khác nhau. Quan hệ với session_id chưa rõ"
samples,username,"Bản sao tên tài khoản, chỉ còn trên dữ liệu cũ.",LEGACY,"Nghỉ hưu theo ĐƯỜNG GHI, không phải cột bỏ hoang: không câu INSERT/upsert nào còn điền nó (`username` vắng trong _SAMPLE_DB_KEYS), nhưng giá trị cũ VẪN thuộc account_rename.STATE_COPIES và được cập nhật khi tài khoản đổi tên. Đo theo tháng: 05/2026 764/1244, 06/2026 400/440, 07/2026 5/2176, 08/2026 0/4"
samples,deleted_at,Thời điểm xoá mềm; tệp VẪN nằm trên đĩa cho tới khi dọn Thùng rác.,VERIFIED,Vì vậy xoá mềm không trả lại dung lượng
samples,left_hand_ratio,Tỷ lệ khung hình phát hiện được tay trái.,DERIVED,"TÁI TÍNH ĐƯỢC từ npz đã lưu: hand_presence() chỉ hỏi khối tay có khác 0 không, và normalize_single_hand trả nguyên khối rỗng (`if not np.any(h): return h`), nên chuẩn hoá không đổi câu trả lời"
samples,right_hand_ratio,Tỷ lệ khung hình phát hiện được tay phải.,DERIVED,TÁI TÍNH ĐƯỢC từ npz đã lưu — cùng cơ chế với left_hand_ratio
samples,both_hands_ratio,Tỷ lệ khung hình phát hiện được cả hai tay.,DERIVED,TÁI TÍNH ĐƯỢC từ npz đã lưu — cùng cơ chế với left_hand_ratio
samples,jitter,"Độ rung của chuỗi landmark, phân vị 95.",DERIVED,"KHÔNG tái tính được từ npz ĐÃ CHUẨN HOÁ: chỉ số đo ĐỘ DỜI toạ độ và phải tính TRƯỚC normalize_hands_vector_126, khi toạ độ còn ở thang ảnh MediaPipe 0..1. NHƯNG kho raw giữ đúng mảng ấy — `landmarks_raw` [T_original, 126], trước khi căn cổ tay và co giãn — nên với mẫu CÓ kho raw thì tính lại được. Đo: 1.678/3.864 mẫu có raw (raw_landmarks_available), 2.186 mẫu KHÔNG có và với chúng chỉ số này là không khôi phục được"
samples,quality_flags,Các cờ cảnh báo chất lượng của lượt thu.,DERIVED,"KHÔNG tái tính được chỉ từ hàng samples và npz đã chuẩn hoá. Cần THÊM hai thứ mà hàng samples không bảo đảm: (1) mảng trước chuẩn hoá để có jitter_p95 — chỉ có ở 1.678/3.864 mẫu qua `landmarks_raw`; (2) đúng bộ ngưỡng qc_* tại thời điểm thu, vốn không lưu cạnh mẫu mà chỉ nằm trong nhật ký JSONL của lượt thu. Điều kiện (2) chưa mẫu nào thoả từ dữ liệu đã lưu"
samples,signer_id,"Danh tính người ký đã chuẩn hoá, khi đã phân định được.",VERIFIED,"2.186/3.864 dòng còn trống, ĐANG ĐÓNG BĂNG chờ duyệt 266 khối thời gian"
samples,collection_campaign,Đợt thu thập mà mẫu thuộc về.,NEEDS_REVIEW,"Lấy từ cấu hình `collection_campaign` lúc thu, nhưng quy tắc đặt tên đợt và ai quyết định nó chưa được ghi ở đâu."
samples,raw_landmarks_available,Có bản landmark thô trong kho raw hay không.,VERIFIED,"Kho raw là nửa KHÔNG tái tạo được của một mẫu: `sequence` dựng lại được từ raw bằng cách chạy lại bộ chuẩn hoá, còn raw thì không dựng lại được từ đâu. Cột này vì thế quyết định mẫu nào còn tính lại được jitter. Đo: 1.678/3.864 mẫu có raw"
samples,normalization_version,Phiên bản thuật toán chuẩn hoá đã áp cho mẫu.,VERIFIED,Cho phép chạy lại chuẩn hoá mà vẫn biết mẫu nào đã dùng phiên bản nào
samples,preprocess_contract_version,Phiên bản hợp đồng tiền xử lý.,VERIFIED,
samples,sequence_length_original,Số khung hình trước khi đệm hoặc cắt.,VERIFIED,
samples,quality_status,Kết luận chất lượng: đạt hay bị gắn cờ.,DERIVED,"KHÔNG tái tính được chỉ từ hàng samples và npz đã chuẩn hoá — cùng hai điều kiện như quality_flags, vì cả hai là đầu ra của evaluate_quality(metrics, cfg)"
samples,tenant_id,Tổ chức sở hữu mẫu; là phạm vi áp dụng cách ly tenant.,VERIFIED,"Tham gia 4 khoá ngoại GHÉP — tới Capture Session, Class, Signer và Dialect — đồng thời có khoá ngoại ĐƠN fk_samples_tenant tới Tenant. Là trụ neo tenant của bảng"
samples,capture_session_id,Phiên thu chứa mẫu này.,VERIFIED,"997/3.864 dòng còn trống — dữ liệu có trước khi đường ghi nối phân cấp. Chỉ có trong CSDL, không có trong samples.csv"
samples,review_status,Trạng thái kiểm duyệt của mẫu.,VERIFIED,"MIỀN CHO PHÉP do ck_samples_review_status quy định: pending, approved, rejected. QUAN SÁT trên sản xuất: approved 3.862, pending 2, rejected 0 — miền rộng hơn dữ liệu đang có"
samples,reviewed_by,Tài khoản đã kiểm duyệt mẫu.,VERIFIED,
samples,reviewed_at,Thời điểm kiểm duyệt.,VERIFIED,
samples,review_note,Ghi chú của người kiểm duyệt.,VERIFIED,
raw_uploads,upload_uid,Định danh lượt tải lên; cũng là khoá chống trùng khi client gửi lại.,VERIFIED,
raw_uploads,class_uid,Lớp ký hiệu của video.,VERIFIED,
raw_uploads,slug,Bản sao slug của lớp.,NEEDS_REVIEW,Phi chuẩn hoá
raw_uploads,label_original,Bản sao nhãn gốc của lớp.,NEEDS_REVIEW,Phi chuẩn hoá
raw_uploads,language,Ngôn ngữ ký hiệu.,VERIFIED,
raw_uploads,dialect,Phương ngữ.,VERIFIED,
raw_uploads,source_type,Loại nguồn của lượt tải lên; đường ghi hiện hành gán giá trị `video`.,VERIFIED,"Đường TẠO upload hiện hành (routers/upload.py) gán cứng `video`. CSDL KHÔNG cưỡng chế — không có CHECK nào — và đường gương/nhập CSV→DB chép nguyên giá trị từ tệp, nên không đường nào bảo đảm cột này luôn là `video`. Sản xuất hiện có 1 hàng, giá trị `video`"
raw_uploads,user_id,"Nhãn người ký/tài khoản dạng văn bản, theo hợp đồng dữ liệu cũ; đường ghi hiện hành vẫn điền cột này. KHÔNG phải khoá ngoại tới users.",VERIFIED,"Thuộc account_rename.STATE_COPIES: giá trị đã lưu ĐƯỢC CẬP NHẬT khi tài khoản đổi tên, nên không phải ảnh chụp lịch sử bất biến. Vẫn ghi ở hàng mới (có trong _RAW_UPLOAD_DB_KEYS)"
raw_uploads,auth_user_id,Tài khoản đã tải video lên.,VERIFIED,
raw_uploads,session_id,Mã phiên tại thời điểm tải lên.,VERIFIED,
raw_uploads,original_filename,"Tên tệp do người dùng gửi lên, đã làm sạch.",VERIFIED,
raw_uploads,local_path,Đường dẫn video trên đĩa máy chủ.,VERIFIED,Là nguồn quy chủ dung lượng video: thư mục raw_videos KHÔNG phân vùng theo tenant
raw_uploads,storage_key,Khoá tệp tương đối so với gốc dataset.,VERIFIED,
raw_uploads,storage_url,Vị trí hiện tại của video; cập nhật sau khi đẩy lên Drive.,VERIFIED,
raw_uploads,created_at,Thời điểm tải lên.,VERIFIED,
raw_uploads,updated_at,Thời điểm cập nhật gần nhất.,VERIFIED,
raw_uploads,deleted_at,Thời điểm xoá mềm; tệp vẫn nằm trên đĩa.,VERIFIED,
raw_uploads,status,Trạng thái xử lý của lượt tải lên.,NEEDS_REVIEW,Cần xác nhận tập giá trị hợp lệ
raw_uploads,session_uid,Mã phiên thứ hai.,NEEDS_REVIEW,Cùng câu hỏi như samples.session_uid
raw_uploads,username,"Bản sao tên tài khoản, chỉ còn trên dữ liệu cũ.",LEGACY,"Nghỉ hưu theo ĐƯỜNG GHI, không phải cột bỏ hoang: `username` vắng trong _RAW_UPLOAD_DB_KEYS nên hàng mới không có giá trị, nhưng giá trị cũ vẫn thuộc account_rename.STATE_COPIES và được cập nhật khi đổi tên. Hàng duy nhất trên sản xuất để trống cột này"
raw_uploads,tenant_id,Tổ chức sở hữu video.,VERIFIED,
tenants,tenant_id,Định danh tổ chức; là giá trị mọi chính sách cách ly tenant so khớp.,VERIFIED,
tenants,display_name,Tên tổ chức hiển thị cho người dùng.,VERIFIED,
tenants,slug,Slug — dạng rút gọn của tên tổ chức.,NEEDS_REVIEW,"Có ràng buộc duy nhất (tenants_slug_key, không phải chỉ mục một phần); chưa xác nhận consumer hiện hành, và chưa xác nhận cột có thực sự tham gia URL/route hay không"
tenants,is_active,Tổ chức còn hoạt động hay không.,VERIFIED,
tenants,created_at,Thời điểm tạo tổ chức.,VERIFIED,
tenants,deleted_at,Thời điểm xoá mềm tổ chức.,VERIFIED,
tenants,cloned_from_community_version,Phiên bản danh mục Community mà tổ chức được nhân bản từ đó lúc tạo.,VERIFIED,"Kế thừa xảy ra lúc TẠO, không phải một đường vọng lại lúc chạy"
tenants,cloned_at,Thời điểm nhân bản danh mục.,VERIFIED,
tenants,plan_code,Gói dịch vụ hiện hành; là nguồn ĐỌC của mọi phép cưỡng chế hạn mức.,VERIFIED,Lịch sử đổi gói nằm ở tenant_subscriptions
tenants,billing_status,Trạng thái billing/dịch vụ của tổ chức; được dùng để quyết định tổ chức còn ghi được dữ liệu hay không.,VERIFIED,
tenants,trial_ends_at,Thời điểm hết hạn dùng thử.,VERIFIED,
tenants,current_period_start,Đầu kỳ hạn hiện tại của đăng ký.,VERIFIED,
tenants,current_period_end,Cuối kỳ hạn hiện tại; mốc để nhắc hạn và mở kỳ mới.,VERIFIED,
tenants,is_self_serve,Tổ chức tự đăng ký hay do quản trị viên nền tảng tạo.,VERIFIED,
tenants,owner_user_id,Tài khoản được chỉ định làm chủ sở hữu tổ chức; có thể NULL.,VERIFIED,"KHÁC chiều với users.tenant_id — hai quan hệ riêng, không phải nghịch đảo của nhau"
tenants,suspended_at,Thời điểm tạm ngưng dịch vụ.,VERIFIED,
tenants,suspended_reason,Lý do tạm ngưng.,VERIFIED,
tenants,tenant_type,Loại tổ chức: COMMUNITY hay ORGANIZATION.,VERIFIED,"Community là một tenant DỰ TRỮ, không phải một mặt phẳng riêng"
tenants,is_system_reserved,"Tổ chức do nền tảng giữ chỗ, không được xoá.",VERIFIED,
tenants,billing_exempt,Miễn trừ hạn mức thương mại.,VERIFIED,Không dùng các TRẦN THƯƠNG MẠI tương ứng để chặn; mức sử dụng vẫn được đo
users,id,Định danh tài khoản.,VERIFIED,
users,username,Tên đăng nhập.,VERIFIED,Được chép sang nhiều bảng dữ liệu làm dấu vết lịch sử
users,email,Địa chỉ thư điện tử; cũng dùng được để đăng nhập.,VERIFIED,
users,password_hash,Băm mật khẩu.,VERIFIED,
users,is_active,Tài khoản còn hoạt động hay không.,VERIFIED,
users,is_admin,"Quyền quản trị NỀN TẢNG, không phải quyền trong một tổ chức.",VERIFIED,Khác hẳn vai trong tenant; hai thẩm quyền được kiểm riêng
users,created_at,Thời điểm tạo tài khoản.,VERIFIED,
users,role_id,Tham chiếu vai trò kiểu cũ. KHÔNG phải đường phân quyền hiện hành.,LEGACY,"Đo: 5/13 tài khoản còn giá trị, trong khi RBAC thật chạy qua 37 membership + 27 role assignment"
users,phone_number,Số điện thoại dùng cho mã xác minh qua SMS.,VERIFIED,
users,updated_at,Thời điểm cập nhật gần nhất.,VERIFIED,
users,deleted_at,Thời điểm xoá mềm tài khoản.,VERIFIED,
users,tenant_id,Tổ chức dùng làm ngữ cảnh mặc định/dự phòng của tài khoản; quan hệ thành viên và quyền truy cập CÓ THẨM QUYỀN được biểu diễn qua Membership.,VERIFIED,Cố ý không mô tả là 'tổ chức mà người dùng thuộc về' — nói vậy sẽ khiến cột này và Membership trông ngang hàng
users,email_verified_at,Thời điểm xác minh địa chỉ thư.,VERIFIED,Thư hệ thống chỉ gửi tới địa chỉ ĐÃ xác minh
users,phone_verified_at,Thời điểm xác minh số điện thoại.,VERIFIED,
users,sessions_invalid_before,Mốc thu hồi phiên: token phát trước thời điểm này không còn hiệu lực.,VERIFIED,Là mức thu hồi rộng nhất trong ba mức
users,active_tenant_id,Tổ chức người dùng đang CHỌN làm ngữ cảnh làm việc.,VERIFIED,"Khác `tenant_id`: cái kia là mặc định/dự phòng, cái này là lựa chọn hiện tại"
memberships,membership_id,Định danh tư cách thành viên.,VERIFIED,
memberships,user_id,Tài khoản giữ tư cách thành viên này.,VERIFIED,
memberships,scope_level,"Mức phạm vi: TENANT, WORKSPACE hoặc PROJECT.",VERIFIED,Quyết định hai cột workspace_id/project_id phải NULL hay NOT NULL — xem ck_memberships_shape. Ràng buộc CÂY thì ở nơi khác: ct_memberships_chain (xem parent_membership_id) mới là thứ kiểm quan hệ cha-con giữa các tầng
memberships,tenant_id,Tổ chức xác định phạm vi của tư cách thành viên.,VERIFIED,"Cột chịu HAI khoá ngoại vật lý cùng trỏ tenants.tenant_id, một RESTRICT một CASCADE. Khác project_allocations, cặp này được tái tạo cả trên bản CÀI MỚI — xem docs/10-issues/KNOWN_ISSUES.md"
memberships,workspace_id,Workspace của tư cách thành viên. NULL khi scope_level = TENANT; NOT NULL với WORKSPACE và PROJECT.,VERIFIED,ck_memberships_shape ràng ba cột thành đúng ba hình dạng hợp lệ
memberships,project_id,Project của tư cách thành viên. NOT NULL chỉ khi scope_level = PROJECT.,VERIFIED,"Khoá ngoại ghép BA cột (tenant, workspace, project) nên không trỏ được sang project của workspace hay tổ chức khác"
memberships,parent_membership_id,"Tư cách thành viên cấp trên trong cây phạm vi, của CÙNG một người.",VERIFIED,"Khoá ngoại ghép (parent_membership_id, user_id) bảo đảm cha thuộc CÙNG tài khoản. Constraint trigger ct_memberships_chain còn cưỡng chế bốn điều mà khoá ngoại không nói: (1) membership TENANT không được có cha, WORKSPACE/PROJECT bắt buộc có; (2) cha của WORKSPACE phải là TENANT, cha của PROJECT phải là WORKSPACE — đúng tầng liền trên; (3) với PROJECT, workspace_id của cha phải TRÙNG workspace_id của con — cùng NHÁNH, không chỉ cùng tổ chức; (4) một membership ACTIVE không được treo dưới cha đã thôi ACTIVE"
memberships,legacy_role,"Vai trò tương thích cũ, chỉ dùng được ở membership cấp tenant.",LEGACY,CHECK giới hạn còn admin|editor và chỉ cho phép khi scope_level = TENANT
memberships,status,"Trạng thái: ACTIVE, INVITED, SUSPENDED hoặc REMOVED.",VERIFIED,
memberships,joined_at,Thời điểm gia nhập.,VERIFIED,
memberships,suspended_at,Thời điểm bị tạm đình chỉ.,VERIFIED,
memberships,left_at,Thời điểm rời đi. CHECK buộc cột này có giá trị KHI VÀ CHỈ KHI status = REMOVED.,VERIFIED,
memberships,created_at,Thời điểm tạo bản ghi.,VERIFIED,
memberships,updated_at,Thời điểm cập nhật gần nhất.,VERIFIED,
roles,role_id,Định danh vai trò.,VERIFIED,
roles,role_code,"Mã vai trò ổn định, dùng để tra cứu trong mã nguồn.",VERIFIED,
roles,description,Mô tả vai trò cho người vận hành.,VERIFIED,
roles,tenant_id,Tổ chức sở hữu vai trò TUỲ CHỈNH. NULL với vai trò dựng sẵn của nền tảng.,VERIFIED,ck_role_ownership buộc: NULL khi và chỉ khi is_builtin; vai tuỳ chỉnh phải có tenant và không được ở phạm vi SYSTEM
roles,scope_level,"Phạm vi áp dụng: SYSTEM, TENANT, WORKSPACE hoặc PROJECT.",VERIFIED,Phạm vi SYSTEM chỉ thuộc về nền tảng (tenant_id NULL)
roles,is_builtin,Vai trò do nền tảng dựng sẵn hay do tổ chức tự tạo.,VERIFIED,Quyết định tenant_id phải NULL hay NOT NULL
roles,is_active,Vai trò còn dùng được hay đã nghỉ hưu.,VERIFIED,"Vai rác được nhận nuôi bằng cách tắt cờ này, không xoá"
roles,created_at,Thời điểm tạo vai trò.,VERIFIED,
roles,role_name,Tên vai trò hiển thị.,NEEDS_REVIEW,Tồn tại song song với role_code sau một lượt di trú; quan hệ giữa hai cột cần xác nhận
roles,tenant_type_constraint,Giới hạn vai trò chỉ áp cho một loại tổ chức (COMMUNITY hoặc ORGANIZATION); NULL nghĩa là không giới hạn.,VERIFIED,"Constraint trigger ct_roles_tenant_type kiểm loại tổ chức SỞ HỮU vai phải khớp giá trị này. Đây là bảo đảm giữa các hàng mà CHECK không làm được — CHECK chỉ ràng được miền giá trị. Trigger thứ hai, ct_role_assignments_scope, chặn tiếp ở lúc GÁN"
roles,created_by_user_id,Tài khoản đã tạo vai trò tuỳ chỉnh.,VERIFIED,
roles,updated_at,Thời điểm cập nhật gần nhất.,VERIFIED,
role_assignments,assignment_id,Định danh lượt gán vai.,VERIFIED,
role_assignments,user_id,Tài khoản NHẬN lượt gán vai — chủ thể của quyền.,VERIFIED,"NOT NULL, ON DELETE CASCADE: xoá người thì xoá luôn phép gán"
role_assignments,role_id,Vai trò được gán.,VERIFIED,Constraint trigger ct_role_assignments_scope TỪ CHỐI gán một vai đã tắt (`roles.is_active = false`): một dòng gán 'đang hiệu lực' cho vai đã tắt sẽ khiến giao diện nói người này có vai còn Casbin nói không
role_assignments,membership_id,Tư cách thành viên mà lượt gán này gắn vào.,VERIFIED,"Khoá ngoại ghép (membership_id, user_id) bảo đảm vai được gán cho đúng người của membership. ct_role_assignments_scope còn cưỡng chế: (1) phạm vi SYSTEM KHI VÀ CHỈ KHI membership_id IS NULL — hai chiều; (2) phạm vi của vai phải BẰNG phạm vi của membership, không phải quan hệ thống trị; (3) vai thuộc một tổ chức chỉ gán được TRONG tổ chức đó — khoá ngoại không phản đối vì cả hai định danh đều có thật; (4) vai giới hạn theo loại tổ chức chỉ gán được trong tổ chức đúng loại"
role_assignments,assigned_by_user_id,Tài khoản THỰC HIỆN việc cấp vai — tác nhân.,VERIFIED,"NOT NULL, ON DELETE RESTRICT: CSDL từ chối xoá một tài khoản khi vẫn còn Role Assignment tham chiếu tài khoản đó ở vai trò người cấp. Giữ được dấu vết tác nhân chừng nào bản ghi cấp vai còn tồn tại"
role_assignments,assigned_at,Thời điểm cấp vai.,VERIFIED,
role_assignments,revoked_by_user_id,Tài khoản THỰC HIỆN việc thu hồi vai — tác nhân thu hồi.,VERIFIED,NULL cho tới khi vai bị thu hồi
role_assignments,revoked_at,Thời điểm thu hồi vai.,VERIFIED,
role_assignments,revoke_reason,Lý do thu hồi.,VERIFIED,
permissions,permission_code,"Mã quyền, dạng `miền.hành_động`.",VERIFIED,CHECK ràng đúng hình dạng ấy bằng biểu thức chính quy
permissions,description,Mô tả quyền cho người vận hành.,VERIFIED,
permissions,applicable_scope,"Tầng áp dụng: SYSTEM, TENANT, WORKSPACE hoặc PROJECT.",VERIFIED,
permissions,risk_level,"Mức rủi ro: NORMAL, SENSITIVE hoặc CRITICAL.",VERIFIED,
permissions,requires_passcode,Quyền này đòi xác nhận lại bằng mật mã trước khi dùng.,VERIFIED,Cơ chế sudo mode
permissions,is_api_assignable,Quyền có gán được cho khoá API hay không.,VERIFIED,CHECK cấm quyền phạm vi SYSTEM được gán cho khoá API
permissions,is_active,Quyền còn hiệu lực hay đã nghỉ hưu.,VERIFIED,
permissions,created_at,Thời điểm khai báo quyền.,VERIFIED,
permissions,is_custom_role_allowed,Quyền có được đưa vào vai trò tuỳ chỉnh của tổ chức hay không.,VERIFIED,CHECK cấm quyền phạm vi SYSTEM lọt vào vai tuỳ chỉnh
role_permissions,role_id,Vai trò được cấp quyền.,VERIFIED,
